timestamps,TP9,AF7,AF8,TP10,Right AUX
1731646378.884,-99.121,41.016,-54.688,-105.469,0.000
1731646378.888,-75.684,23.926,-50.781,-99.609,0.000
1731646378.892,-73.242,25.391,-59.082,-104.492,0.000
1731646378.896,-71.289,29.297,-49.805,-81.543,0.000
1731646378.900,-56.641,14.160,-39.062,-96.680,0.000
1731646378.904,-21.484,7.812,-43.457,-94.238,0.000
1731646378.908,-42.480,0.000,-47.852,-77.637,0.000
1731646378.912,-97.656,2.930,-49.316,-114.258,0.000
1731646378.916,-83.984,3.418,-46.387,-112.305,0.000
1731646378.919,-57.129,-21.484,-45.410,-86.914,0.000
1731646378.923,-43.457,-14.160,-49.805,-74.219,0.000
1731646378.927,-26.855,-2.930,-42.480,-69.336,0.000
1731646378.931,-40.039,-9.277,-36.621,-83.984,0.000
1731646378.935,-38.574,-30.273,-30.762,-72.754,0.000
1731646378.939,-8.301,-39.062,-31.250,-39.062,0.000
1731646378.943,-14.160,-25.879,-34.180,-38.086,0.000
1731646378.947,-27.344,-18.555,-22.949,-46.387,0.000
1731646378.951,2.930,-9.766,-13.184,-4.883,0.000
1731646378.955,12.695,-30.273,-16.602,0.000,0.000
1731646378.959,-10.742,-50.293,-17.578,-34.668,0.000
1731646378.962,-20.508,-46.387,-20.996,-28.320,0.000
1731646378.966,-15.137,-46.387,-24.414,-4.883,0.000
1731646378.970,3.906,-38.086,-15.625,0.488,0.000
1731646378.974,18.555,-52.246,-18.066,-12.207,0.000
1731646378.978,2.441,-72.754,-17.090,-23.438,0.000
1731646378.982,12.207,-60.547,-9.766,11.719,0.000
1731646378.986,20.020,-45.410,-13.672,33.691,0.000
1731646378.990,14.648,-56.641,-9.766,14.648,0.000
1731646378.994,15.137,-64.941,-5.859,7.812,0.000
1731646378.998,22.949,-48.340,-5.371,18.555,0.000
1731646379.002,19.043,-41.992,-3.418,15.137,0.000
1731646379.005,1.953,-59.570,-8.789,12.207,0.000
1731646379.009,2.930,-66.895,-0.488,33.691,0.000
1731646379.013,22.461,-60.059,9.277,37.109,0.000
1731646379.017,28.320,-52.246,-0.488,19.531,0.000
1731646379.021,17.090,-62.988,-3.906,16.113,0.000
1731646379.025,10.254,-68.848,-6.836,34.668,0.000
1731646379.029,3.906,-50.781,-13.672,37.598,0.000
1731646379.033,13.184,-37.109,-12.207,29.297,0.000
1731646379.037,24.414,-34.180,-6.836,35.156,0.000
1731646379.041,-4.883,-42.480,-9.766,27.832,0.000
1731646379.044,0.488,-35.156,-6.836,21.973,0.000
1731646379.048,19.043,-33.203,6.348,37.598,0.000
1731646379.052,0.488,-50.293,4.883,14.648,0.000
1731646379.056,0.488,-56.641,-0.977,-9.766,0.000
1731646379.060,22.949,-51.270,-5.859,-2.930,0.000
1731646379.064,28.320,-48.828,0.488,10.254,0.000
1731646379.068,15.625,-53.223,-4.883,19.043,0.000
1731646379.072,11.719,-43.457,-20.996,22.461,0.000
1731646379.076,6.348,-39.551,-11.719,27.832,0.000
1731646379.080,3.418,-35.645,-4.395,4.395,0.000
1731646379.084,-0.488,-37.598,-7.812,-22.461,0.000
1731646379.087,-6.348,-54.688,-9.766,-18.066,0.000
1731646379.091,2.930,-52.734,-10.254,16.602,0.000
1731646379.095,4.883,-44.434,-12.695,33.203,0.000
1731646379.099,5.859,-43.457,-16.602,12.207,0.000
1731646379.103,6.348,-39.551,-15.625,32.227,0.000
1731646379.107,22.461,-39.551,-18.555,62.500,0.000
1731646379.111,31.250,-43.457,-18.066,61.523,0.000
1731646379.115,17.090,-21.973,-22.461,54.199,0.000
1731646379.119,16.602,-16.113,-27.832,55.664,0.000
1731646379.123,8.789,-29.297,-20.020,41.504,0.000
1731646379.126,11.230,-25.391,-13.184,38.086,0.000
1731646379.130,17.578,-29.297,-13.184,47.852,0.000
1731646379.134,21.973,-30.762,-21.973,45.410,0.000
1731646379.138,44.922,-20.020,-28.320,78.125,0.000
1731646379.142,41.016,-31.250,-22.949,86.426,0.000
1731646379.146,12.695,-53.711,-17.090,43.457,0.000
1731646379.150,16.602,-47.363,-15.625,40.039,0.000
1731646379.154,11.719,-39.551,-20.508,52.734,0.000
1731646379.158,14.648,-51.270,-23.438,54.199,0.000
1731646379.162,12.207,-62.500,-12.207,69.824,0.000
1731646379.166,0.488,-58.594,-5.371,79.590,0.000
1731646379.169,7.812,-56.641,-7.812,83.008,0.000
1731646379.173,2.930,-46.387,-6.836,95.703,0.000
1731646379.177,-9.766,-51.758,-12.695,91.797,0.000
1731646379.181,-14.648,-67.871,-15.137,89.355,0.000
1731646379.185,13.184,-58.105,-12.207,127.441,0.000
1731646379.189,43.457,-57.617,-12.695,149.902,0.000
1731646379.193,38.574,-58.105,-11.719,121.094,0.000
1731646379.197,16.113,-75.684,-12.695,100.586,0.000
1731646379.201,14.160,-73.730,-9.277,128.418,0.000
1731646379.205,23.438,-42.480,-6.348,142.578,0.000
1731646379.208,34.668,-25.879,-9.277,136.230,0.000
1731646379.212,27.344,-22.461,-13.184,138.184,0.000
1731646379.216,31.738,-26.367,-18.066,142.578,0.000
1731646379.220,56.641,-31.250,-14.648,148.438,0.000
1731646379.224,51.270,-45.898,-5.859,142.090,0.000
1731646379.228,39.551,-49.805,-7.812,130.371,0.000
1731646379.232,43.457,-20.020,-15.625,118.652,0.000
1731646379.236,24.414,0.977,-15.137,97.656,0.000
1731646379.240,7.324,-14.648,-5.371,72.754,0.000
1731646379.244,17.090,-26.367,-1.953,86.914,0.000
1731646379.248,24.414,-21.973,-7.324,117.188,0.000
1731646379.251,33.203,-26.855,-4.395,130.371,0.000
1731646379.255,37.109,-41.016,-7.812,123.535,0.000
1731646379.259,33.691,-34.668,-13.184,101.562,0.000
1731646379.263,38.574,-25.879,-13.184,98.633,0.000
1731646379.267,38.574,-18.066,-17.090,90.332,0.000
1731646379.271,46.875,-12.207,-18.555,82.031,0.000
1731646379.275,48.340,-8.789,-16.602,84.473,0.000
1731646379.279,39.551,-4.395,-10.254,107.422,0.000
1731646379.283,46.875,-3.906,-6.348,117.676,0.000
1731646379.287,60.059,-3.418,-10.742,120.605,0.000
1731646379.291,57.129,-16.602,-12.695,124.512,0.000
1731646379.294,66.406,-19.043,-9.766,103.516,0.000
1731646379.298,61.523,-6.348,-8.789,112.305,0.000
1731646379.302,37.598,-1.953,-9.277,118.652,0.000
1731646379.306,45.898,3.906,-8.789,150.391,0.000
1731646379.310,50.293,-7.324,-6.836,159.668,0.000
1731646379.314,36.133,-32.227,-9.277,103.516,0.000
1731646379.318,41.992,-22.461,-7.812,114.258,0.000
1731646379.322,71.777,6.836,-2.441,150.391,0.000
1731646379.326,77.637,16.113,-9.277,151.855,0.000
1731646379.330,44.434,22.461,-13.184,143.555,0.000
1731646379.333,35.645,7.324,-10.742,132.324,0.000
1731646379.337,58.105,-7.324,-13.184,124.512,0.000
1731646379.341,63.965,-3.906,-15.625,121.582,0.000
1731646379.345,63.477,-1.953,-15.137,105.957,0.000
1731646379.349,55.176,-3.418,-14.160,82.031,0.000
1731646379.353,53.223,-8.789,-13.672,100.098,0.000
1731646379.357,56.641,-9.766,-14.160,129.395,0.000
1731646379.361,45.898,-8.301,-8.789,125.977,0.000
1731646379.365,53.223,-11.230,-5.859,119.629,0.000
1731646379.369,65.430,-19.043,-11.230,122.559,0.000
1731646379.373,61.035,-5.859,-13.672,118.652,0.000
1731646379.376,68.848,-7.324,-10.742,112.793,0.000
1731646379.380,77.148,-23.926,-9.277,106.445,0.000
1731646379.384,69.824,-4.395,-9.277,105.957,0.000
1731646379.388,57.617,3.418,-10.742,103.027,0.000
1731646379.392,60.059,-4.883,-11.719,103.027,0.000
1731646379.396,56.152,-13.672,-16.602,74.219,0.000
1731646379.400,60.547,-15.137,-16.602,61.523,0.000
1731646379.404,66.895,-8.301,-10.742,93.750,0.000
1731646379.408,60.547,-10.254,-8.301,109.375,0.000
1731646379.412,52.734,-19.531,-12.695,120.605,0.000
1731646379.416,52.734,-28.809,-20.996,118.164,0.000
1731646379.419,64.941,-26.855,-13.184,134.766,0.000
1731646379.423,66.406,-25.391,-6.836,137.207,0.000
1731646379.427,76.660,-25.879,-12.207,131.836,0.000
1731646379.431,77.637,-16.113,-13.672,144.531,0.000
1731646379.435,54.688,-16.113,-19.043,134.766,0.000
1731646379.439,44.434,-14.648,-18.066,122.559,0.000
1731646379.443,60.547,-15.625,-15.137,128.418,0.000
1731646379.447,57.617,-17.578,-17.578,124.023,0.000
1731646379.451,35.645,-13.672,-12.695,107.910,0.000
1731646379.455,20.020,-21.973,-14.160,100.098,0.000
1731646379.458,34.668,-19.531,-20.020,98.633,0.000
1731646379.462,64.941,-27.832,-9.766,97.656,0.000
1731646379.466,74.219,-22.461,-2.441,80.078,0.000
1731646379.470,53.223,-10.254,-8.789,62.012,0.000
1731646379.474,62.988,-19.043,-10.742,64.453,0.000
1731646379.478,70.312,-13.184,-13.672,75.195,0.000
1731646379.482,50.293,-15.625,-17.578,69.336,0.000
1731646379.486,44.922,-32.715,-19.043,64.941,0.000
1731646379.490,65.430,-23.438,-15.137,64.453,0.000
1731646379.494,68.848,-20.508,-10.254,40.527,0.000
1731646379.498,38.086,-22.461,-16.602,15.137,0.000
1731646379.501,43.457,-20.020,-23.438,22.949,0.000
1731646379.505,52.246,-23.438,-17.090,38.086,0.000
1731646379.509,31.738,-24.414,-7.812,17.090,0.000
1731646379.513,31.738,-18.555,-3.418,18.555,0.000
1731646379.517,36.621,-22.949,-4.395,24.902,0.000
